Epochs,Validationloss CNN3D,Validationlos CNN1D3D (proposed method),Improvement (in %)
1,0.0025246831068217604,0.0029099534005142262,13.24
2,0.0020241335407409494,0.00232143770174041,12.81
3,0.001636090164052373,0.001995574893573058,18.01
4,0.001370154707981229,0.001897320706181168,27.78
5,0.0013114125418617487,0.001830204337220711,28.35
6,0.0012678944540207779,0.001773745231341574,28.52
7,0.0012156088332399835,0.0017100861354915782,28.92
8,0.0011658628583398295,0.0015807278305484211,26.25
9,0.001128114908579009,0.0014592208456715814,22.69
10,0.001032503618225045,0.0013010696239777633,20.64
11,0.0008992570255825735,0.0011144943299551038,19.31
12,0.0008202260672071184,0.0009698660254438611,15.43
13,0.0007935037489546889,0.0008782514468666695,9.65
14,0.0007791151224927189,0.0008129447755469624,4.16
15,0.0007628776664743008,0.0007612414236599175,-0.21
16,0.000762262312744352,0.0007628833695138441,0.08
17,0.0007611237439994498,0.0007243734122410336,-5.07
18,0.0007765701503306791,0.0007016939877295123,-10.67
19,0.0007683559849860624,0.0006867693485600205,-11.88
20,0.0007521314861217954,0.0006778003380697211,-10.97
21,0.0007305766850157045,0.0006705215238531974,-8.96
22,0.0007492000917612964,0.000667398080783698,-12.26
23,0.000734360363544266,0.0006598648238650888,-11.29
24,0.0007480500770927895,0.0006642894406692924,-12.61
25,0.0007431937003232725,0.0006561376977699385,-13.27
26,0.0007361241968426982,0.0006525485354359821,-12.81
27,0.000733361196563429,0.0006486045816196476,-13.07
28,0.0007369256511926714,0.0006493114257428252,-13.49
29,0.0007295459282773058,0.000647250730274376,-12.71
30,0.0007427926400223196,0.0006434373991702246,-15.44
31,0.0007190178794350688,0.0006401942702380002,-12.31
32,0.0007284182839404162,0.000642673751618168,-13.34
33,0.0007072233690737635,0.0006366106776718683,-11.09
34,0.0007253765873505162,0.0006329339059997236,-14.61
35,0.0007081660436241114,0.0006336314270626509,-11.76
36,0.0007418146138212853,0.0006484147329443205,-14.4
37,0.0007093476929121132,0.0006337236052062561,-11.93
38,0.000713404401410141,0.0006301741072599643,-13.21
39,0.0007096715814855725,0.0006281800258924003,-12.97
40,0.000717298684309795,0.0006322621254706832,-13.45
41,0.000702558627233104,0.0006267662208767468,-12.09
42,0.0007074422593733608,0.0006248046160175317,-13.23
43,0.0007080263861425273,0.0006324048763980409,-11.96
44,0.000719326721423939,0.0006280368294817349,-14.54
45,0.0007361743285549788,0.0006313087542080144,-16.61
46,0.0007031896002392996,0.0006235537159844567,-12.77
47,0.0007105611089743317,0.0006218603071658401,-14.26
48,0.0007121747326516896,0.0006253106713966198,-13.89
49,0.0007132440091170961,0.0006207778237681515,-14.9
50,0.0007178382197973005,0.0006225789353280576,-15.3
