Epochs,Validationloss CNN3D (e-3),Validationloss CNN1D3D/proposed method (e-3),Validationloss CNN3D1D (e-3),Improvement CNN1D3D (%),Improvement CNN3D1D (%)
5,0.3969,0.2808,0.3282,-41.38,-20.95
10,0.2996,0.2442,0.2644,-22.69,-13.3
15,0.2767,0.2301,0.2466,-20.27,-12.21
20,0.2648,0.2192,0.2371,-20.83,-11.67
25,0.2609,0.2162,0.2343,-20.69,-11.34
30,0.2489,0.2193,0.2302,-13.49,-8.1
35,0.2481,0.2172,0.2263,-14.25,-9.63
40,0.2461,0.2214,0.2239,-11.18,-9.94
45,0.242,0.2165,0.2238,-11.75,-8.14
50,0.238,0.2184,0.2211,-8.94,-7.63
